"name","cuisine","rating","price_range","district"
"Bistro Verde","Європейська",4.2,"₴₴","Центр"
"Kyiv Sushi Lab","Японська",4.7,"₴₴₴","Центр"
"Trattoria Roma","Італійська",4.4,"₴₴₴","Печерськ"
"Burger Corner","Американська",4,"₴₴","Поділ"
"Curry House","Індійська",4.3,"₴₴","Оболонь"
"Saffron Grill","Індійська",4.6,"₴₴₴","Центр"
"La Piazza","Італійська",4.1,"₴₴","Поділ"
"Pho Saigon","Азійська",4.2,"₴₴","Лівий берег"
"Khinkali Point","Грузинська",4.5,"₴₴","Печерськ"
"Ocean Grill","Морепродукти",4.4,"₴₴₴","Центр"
"Bakery&Coffee","Європейська",4,"₴","Оболонь"
"Steak District","Стейк-хаус",4.8,"₴₴₴₴","Печерськ"
"Pasta & Wine","Італійська",4.3,"₴₴₴","Центр"
"Green Bowl","Здорова",4.1,"₴₴","Лівий берег"
"Taco Street","Мексиканська",4.2,"₴₴","Поділ"
"Ramen Bar","Японська",4.6,"₴₴₴","Центр"
"Meat & Fire","Стейк-хаус",4.7,"₴₴₴₴","Печерськ"
"Dolce Vita","Італійська",4.2,"₴₴₴","Лівий берег"
"Spice Route","Індійська",4.4,"₴₴₴","Оболонь"
"Fish & Lemon","Морепродукти",4.5,"₴₴₴","Поділ"
