"name","cuisine","district","price_level","rating"
"Ресторан 001","Індійська","Лівий берег","₴₴",3.87832848903913
"Ресторан 002","Азійська","Печерськ","₴₴₴",4.06535120413388
"Ресторан 003","Морепродукти","Центр","₴",3.09506947172479
"Ресторан 004","Італійська","Лівий берег","₴₴₴",4.0627022199742
"Ресторан 005","Італійська","Лівий берег","₴₴",4.24014577381593
"Ресторан 006","Індійська","Печерськ","₴₴",4.26603379188435
"Ресторан 007","Японська","Лівий берег","₴₴",3.72713501609828
"Ресторан 008","Індійська","Лівий берег","₴₴₴",3.96402792915886
"Ресторан 009","Мексиканська","Лівий берег","₴₴",3.90986897845612
"Ресторан 010","Італійська","Печерськ","₴₴",3.67451635020592
"Ресторан 011","Здорова","Поділ","₴₴",3.78767542466039
"Ресторан 012","Азійська","Лівий берег","₴₴₴",4.07628569984156
"Ресторан 013","Здорова","Поділ","₴₴",3.9639298576379
"Ресторан 014","Європейська","Печерськ","₴₴",4.07879672233637
"Ресторан 045","Індійська","Печерськ","₴₴₴",4.44171957191299
"Ресторан 016","Азійська","Оболонь","₴₴",3.99260683539345
"Ресторан 017","Японська","Поділ","₴₴₴",4.10036435923585
"Ресторан 018","Японська","Лівий берег","₴",3.99090926030429
"Ресторан 019","Мексиканська","Оболонь","₴₴₴₴",4.15925752535823
"Ресторан 020","Італійська","Центр","₴₴",4.16345601614825
"Ресторан 021","Італійська","Поділ","₴₴",3.74070405243275
"Ресторан 022","Азійська","Печерськ","₴",3.82674952573257
"Ресторан 023","Індійська","Печерськ","₴₴",4.20562193292515
"Ресторан 024","Здорова","Центр","₴",4.04310495239917
"Ресторан 025","Здорова","Центр","₴₴₴",3.917077707811
"Ресторан 026","Азійська","Центр","₴",3.93666822280797
"Ресторан 027","Італійська","Поділ","₴₴₴₴",4.01864834808183
"Ресторан 028","Європейська","Поділ","₴₴",3.87914532806027
"Ресторан 029","Здорова","Оболонь","₴₴₴",4.19457346563354
"Ресторан 030","Італійська","Печерськ","₴₴₴",4.15824157463064
"Ресторан 031","Європейська","Оболонь","₴₴₴₴",4.26332242773845
"Ресторан 032","Європейська","Лівий берег","₴₴",3.94389270862541
"Ресторан 033","Мексиканська","Печерськ","₴₴",3.61637029309187
"Ресторан 034","Грузинська","Оболонь","₴₴",3.47570429212411
"Ресторан 035","Морепродукти","Оболонь","₴₴",3.65185633456596
"Ресторан 036","Японська","Оболонь","₴₴₴₴",4.1758932287318
"Ресторан 037","Грузинська","Печерськ","₴₴",3.66299523820981
"Ресторан 038","Європейська","Центр","₴₴₴",4.39209757109218
"Ресторан 039","Грузинська","Оболонь","₴",3.50178641554589
"Ресторан 040","Мексиканська","Центр","₴₴",4.46224470605312
"Ресторан 041","Грузинська","Поділ","₴",3.5248176726654
"Ресторан 042","Азійська","Оболонь","₴₴₴",4.39104592848572
"Ресторан 043","Здорова","Лівий берег","₴₴",4.00802145783735
"Ресторан 044","Індійська","Оболонь","₴",4.06811589423287
"Ресторан 045","Здорова","Центр","₴₴",4.24888364521916
"Ресторан 046","Мексиканська","Оболонь","₴₴",3.90152730883711
"Ресторан 047","Грузинська","Печерськ","₴₴",3.63060745564039
"Ресторан 048","Американська","Лівий берег","₴₴",3.77273230846964
"Ресторан 049","Азійська","Печерськ","₴₴₴",4.66358212468805
"Ресторан 050","Італійська","Лівий берег","₴₴₴",4.02761124378099
"Ресторан 051","Американська","Поділ","₴₴",3.86523314120914
"Ресторан 052","Морепродукти","Поділ","₴₴₴₴",4.19060160848865
"Ресторан 053","Європейська","Поділ","₴",3.76711968741673
"Ресторан 054","Японська","Лівий берег","₴₴₴",4.15064000163221
"Ресторан 055","Грузинська","Поділ","₴₴",3.5890986799796
"Ресторан 056","Грузинська","Лівий берег","₴₴",4.04130212846015
"Ресторан 057","Грузинська","Печерськ","₴₴",3.56633074958682
